id_1,id_2,shared_length_m
280,281,24.278355841935117
73,79,24.33170320133454
105,107,24.705499276117163
244,260,26.32314280504743
169,170,26.488585177113453
264,265,26.938789521365564
255,281,27.9601101139706
271,275,28.22781756549427
252,257,29.503341029898998
253,281,30.332726056685246
154,179,30.915571395777345
206,214,31.504852461364116
149,153,33.16200060865066
162,184,34.40839614158269
166,182,34.88872815703369
315,316,35.16208448780261
161,177,35.387686469677305
255,279,36.00784636309932
244,271,36.29119046610616
159,177,37.8606681155798
51,57,37.877316204206075
245,271,37.89464646473371
155,183,38.13988274351625
164,177,38.218508668353785
126,295,38.33058801425412
188,295,39.095857756016066
260,267,39.20683920578978
52,94,39.54295306200672
245,260,39.71237495840376
188,290,39.87010538746574
155,157,39.984077260351114
253,279,40.05407791783519
250,279,40.05512614425683
292,295,40.070311558132545
253,277,40.260042532080554
251,276,40.27754735841192
247,279,40.32831975226947
165,174,40.33664397996844
109,115,40.341569578747226
193,260,40.555280019179804
286,289,40.77387043693439
173,183,41.12658403975171
157,173,41.84032992930277
259,271,41.88995166807925
274,275,42.0230076597194
103,111,43.6531713041119
155,179,44.155359583545504
137,177,44.693723238284974
254,281,44.740996135670144
259,268,44.863984492953726
194,264,45.175997747276014
191,234,45.365766111532686
255,282,45.91706495918788
63,66,46.31918313918999
256,277,46.62235435257676
62,66,46.689128645837634
257,258,46.876269527545446
128,236,47.126746899542205
155,178,48.243798539255295
158,161,48.48745990611562
149,154,49.10470563181405
245,274,49.542361496617296
244,274,49.87092117606123
51,94,50.21745040959434
165,177,50.38727346460669
54,55,51.54273045235838
157,181,52.24683033026208
268,269,52.294240152387665
60,94,52.33457357971152
103,110,52.7166642628318
3,13,53.000608101206446
158,163,53.40803820687524
47,96,54.737694662882305
265,272,55.19382190898655
320,321,55.19795217819991
125,188,56.18044295918132
251,258,56.88018872631328
53,94,56.98666496362413
178,183,57.666667141124385
193,259,58.4652741577538
188,296,58.627869084020446
4,7,59.32800534748513
67,92,60.09177184098226
104,117,60.73911135778095
116,117,61.39947710369589
54,56,61.65140797914414
167,180,63.35133322678044
46,99,64.46144777494786
107,117,64.65241186387709
259,267,64.94071782795993
66,68,66.10062007024652
169,180,66.18624467241487
128,237,66.84831982292852
105,117,67.20342659443133
258,273,68.10778396293351
194,256,71.3957469553234
157,179,71.4072799171724
193,269,73.22100052675052
244,270,74.5774522651979
245,270,74.67491781218739
124,187,75.27348048620446
259,269,75.44329522001391
74,76,75.53204522154776
63,65,75.96893280044462
245,259,75.97450495609054
103,115,76.88027284898104
115,117,77.02781203527809
249,281,77.10156564603591
242,279,77.37319773856213
187,287,77.62731792421144
244,259,77.8521777637994
138,175,79.10723155479079
241,280,79.46777403193464
103,112,80.31344712803751
148,167,81.22837643944703
137,158,81.5085543571595
47,49,82.19519662908507
243,245,82.74407443336605
103,109,83.24041182340524
126,293,83.51527138824535
61,93,84.88833304496202
115,116,85.51938281789832
206,207,85.65326699881865
267,269,86.70593190356368
139,146,86.95253317384673
157,166,87.70717510803962
259,272,88.39981256689504
246,276,89.01882508084681
193,244,90.18645892601496
286,288,91.14656188437526
248,281,91.94270221834769
137,150,93.92057922405058
244,267,93.95797886585504
235,239,94.22492371718076
4,6,96.60435061870179
156,183,98.55838405621532
293,295,100.69317495909063
173,178,102.49852854301572
108,117,102.71275218736557
156,166,103.3340369106125
258,263,103.60703802870412
301,302,104.86752858489727
59,94,104.89778227897222
166,183,105.53892011821623
158,184,105.65951039873107
125,290,106.63122922577442
137,176,108.17759178105035
244,269,109.2305083884029
158,162,109.92808144840802
245,269,112.58017052316475
113,114,113.73128155731348
262,265,114.09592385492981
245,261,114.12392220710178
261,267,115.52765094671099
50,57,117.38480640031375
194,257,117.60474055288188
255,278,122.64974478717454
4,13,125.36200073895742
193,261,127.9669317985485
160,177,129.26810707824131
188,297,131.25344052938513
207,213,131.65154334755306
8,15,136.5572959538197
103,117,140.16727711164896
73,78,141.80525717860758
126,292,143.17496732986666
165,185,146.64602842328577
193,266,149.33539385282666
167,172,150.19137250608424
284,285,153.0793635735109
188,283,156.31744920521479
192,215,156.9040714138569
138,174,157.28099242754513
283,285,157.887362931334
243,246,171.1689556422335
300,303,180.07535567206895
67,71,180.12444106840772
172,181,187.81323804234336
193,245,193.41877228089115
245,267,193.97540588469104
193,267,195.1592900107242
149,168,230.5235693738711
299,302,230.53353109033628
298,302,262.9725106341487
208,213,267.1630429900148
299,300,297.95776889804654
47,97,304.2870700192332
191,215,345.3130696871444
244,245,399.04588628307357
207,214,433.49361650272834
300,302,624.1839166014032
190,234,760.9725480489786
299,303,1624.299837689743
